Profielnaam;X_Maaiveld binnenwaarts;Y_Maaiveld binnenwaarts;Z_Maaiveld binnenwaarts;X_Insteek sloot polderzijde;Y_Insteek sloot polderzijde;Z_Insteek sloot polderzijde;X_Slootbodem polderzijde;Y_Slootbodem polderzijde;Z_Slootbodem polderzijde;X_Slootbodem dijkzijde;Y_Slootbodem dijkzijde;Z_Slootbodem dijkzijde;X_Insteek sloot dijkzijde;Y_Insteek_sloot dijkzijde;Z_Insteek sloot dijkzijde;X_Teen dijk binnenwaarts;Y_Teen dijk binnenwaarts;Z_Teen dijk binnenwaarts;X_Kruin binnenberm;Y_Kruin binnenberm;Z_Kruin binnenberm;X_Insteek binnenberm;Y_Insteek binnenberm;Z_Insteek binnenberm;X_Kruin binnentalud;Y_Kruin binnentalud;Z_Kruin binnentalud;X_Verkeersbelasting kant binnenwaarts;Y_Verkeersbelasting kant binnenwaarts;Z_Verkeersbelasting kant binnenwaarts;X_Verkeersbelasting kant buitenwaarts;Y_Verkeersbelasting kant buitenwaarts;Z_Verkeersbelasting kant buitenwaarts;X_Kruin buitentalud;Y_Kruin buitentalud;Z_Kruin buitentalud;X_Insteek buitenberm;Y_Insteek buitenberm;Z_Insteek buitenberm;X_Kruin buitenberm;Y_Kruin buitenberm;Z_Kruin buitenberm;X_Teen dijk buitenwaarts;Y_Teen dijk buitenwaarts;Z_Teen dijk buitenwaarts;X_Insteek geul;Y_Insteek geul;Z_Insteek geul;X_Teen geul;Y_Teen geul;Z_Teen geul;X_Maaiveld buitenwaarts;Y_Maaiveld buitenwaarts;Z_Maaiveld buitenwaarts
039_042_00010;55;0;-1.79;30.5;0;-2.21;29.5;0;-3.02;29;0;-3.02;28;0;-2.27;27.869;0;-2.173;26.5;0;-1.73;22.5;0;-1.59;19.5;0;-0.76;18;0;-0.57;15.5;0;-0.35;12;0;-0.18;-1;-1;-1;-1;-1;-1;11.5;0;-5;-1;-1;-1;-1;-1;-1;0;0;-5
039_042_00011;38.5;0;-1.58;26;0;-2.08;25.336;0;-2.701;24.8;0;-2.77;24;0;-1.98;24;0;-1.98;-1;-1;-1;-1;-1;-1;21;0;-0.61;20;0;-0.38;17.5;0;-0.27;14;0;-0.21;-1;-1;-1;-1;-1;-1;13.5;0;-4.3;-1;-1;-1;-1;-1;-1;0;0;-4.3
039_042_00012;42.5;0;-1.57;30.5;0;-2.19;30;0;-2.77;29;0;-2.77;28.566;0;-2.21;27.5;0;-1.41;-1;-1;-1;-1;-1;-1;22.5;0;-0.15;19.5;0;-0.04;17;0;-0.08;4;0;-0.18;-1;-1;-1;-1;-1;-1;3.5;0;-4.3;-1;-1;-1;-1;-1;-1;0;0;-4.3
039_042_00013;42.5;0;-1.57;31;0;-2.08;30;0;-2.77;29;0;-2.77;28;0;-1.48;27.5;0;-1.41;-1;-1;-1;-1;-1;-1;23;0;-0.24;21.5;0;-0.09;19;0;-0.07;4.5;0;0.04;-1;-1;-1;-1;-1;-1;3.5;0;-4.3;-1;-1;-1;-1;-1;-1;0;0;-4.3
039_042_00014;39.5;0;-1.38;26.5;0;-2.01;25.5;0;-3.47;25;0;-3.47;24;0;-1.97;23.5;0;-1.34;-1;-1;-1;-1;-1;-1;21;0;-0.11;19;0;-0.04;16.5;0;0.01;11;0;0.02;-1;-1;-1;-1;-1;-1;10.5;0;-4.5;-1;-1;-1;-1;-1;-1;0;0;-4.5
039_042_00015;47.5;0;-0.456;42;0;-0.589;40.138;0;-3.02;39.514;0;-3.02;37.584;0;-0.62;37.584;0;-0.62;-1;-1;-1;-1;-1;-1;36.5;0;0.17;33;0;0.189;30.5;0;0.108;11.5;0;0.034;-1;-1;-1;-1;-1;-1;11;0;-4.5;-1;-1;-1;-1;-1;-1;0;0;-4.5
039_042_00016;40;0;-3.02;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;28;0;-3.02;-1;-1;-1;-1;-1;-1;24;0;-0.02;23.5;0;-0.03;21;0;-0.03;21;0;-0.03;-1;-1;-1;-1;-1;-1;18.5;0;-1.2;-1;-1;-1;-1;-1;-1;0;0;-2
039_042_00017;43.5;0;-1.17;12.5;0;-2.36;12;0;-2.87;11.8;0;-2.87;11;0;-2.15;10.5;0;-1.85;-1;-1;-1;-1;-1;-1;7.5;0;-0.18;7;0;-0.13;4.5;0;-0.35;5;0;-0.18;-1;-1;-1;-1;-1;-1;2;0;-1.2;-1;-1;-1;-1;-1;-1;0;0;-1.2
039_042_00018;55;0;-1.79;30.5;0;-2.21;29.5;0;-3.02;29;0;-3.02;28;0;-2.27;27.5;0;-1.9;26;0;-1.65;22.5;0;-1.59;19.5;0;-0.76;17.5;0;-0.5;15;0;-0.3;12;0;-0.18;-1;-1;-1;-1;-1;-1;11.5;0;-5;-1;-1;-1;-1;-1;-1;0;0;-5
039_042_00019;37;0;-1.86;15.504;0;-2.239;14.8;0;-2.87;14.3;0;-2.87;13.355;0;-2.302;12;0;-1.91;-1;-1;-1;-1;-1;-1;7.5;0;-0.16;7;0;-0.11;4.5;0;-2;6;0;-0.16;-1;-1;-1;-1;-1;-1;5;0;-2;-1;-1;-1;-1;-1;-1;0;0;-2
048_042_00004;59.7;0;-1.265;54.7;0;-1.248;53.592;0;-1.78;48.232;0;-1.78;47.2;0;-1.109;20.2;0;-0.743;-1;-1;-1;-1;-1;-1;17.2;0;0.034;16.7;0;0.072;14.2;0;-0.32;16.2;0;0.04;-1;-1;-1;-1;-1;-1;5.2;0;-3.25;-1;-1;-1;-1;-1;-1;0;0;-3.25
048_042_00013;50.2;0;-1.577;42.2;0;-1.973;40.826;0;-2.66;35.309;0;-2.66;34.2;0;-1.797;33.7;0;-1.797;-1;-1;-1;-1;-1;-1;26.2;0;-0.195;25.2;0;-0.157;22.7;0;-0.194;20.2;0;-0.211;-1;-1;-1;-1;-1;-1;5.2;0;-4.8;-1;-1;-1;-1;-1;-1;0;0;-4.8
048_042_00019;54.7;0;-1.59;37.7;0;-2.085;36.63;0;-2.62;36.07;0;-2.62;35.2;0;-2.185;32.2;0;-1.663;-1;-1;-1;-1;-1;-1;26.2;0;-0.153;25.7;0;-0.083;23.2;0;-0.474;24.2;0;-0.159;-1;-1;-1;-1;-1;-1;5;0;-3;-1;-1;-1;-1;-1;-1;0;0;-3
048_042_00020;25;0;-2.87;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;14.7;0;-1.645;-1;-1;-1;-1;-1;-1;9.7;0;-0.323;9.2;0;-0.25;6.7;0;-0.332;7.2;0;-0.249;-1;-1;-1;-1;-1;-1;5.2;0;-1.24;-1;-1;-1;-1;-1;-1;0;0;-1.24
048_042_00021;35.2;0;-1.398;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;21.2;0;-1.158;-1;-1;-1;-1;-1;-1;14.7;0;-0.048;14.2;0;0.013;11.7;0;-0.476;12.7;0;-0.071;-1;-1;-1;-1;-1;-1;5.2;0;-3.4;-1;-1;-1;-1;-1;-1;0;0;-3.4
048_042_00022;29.7;0;-1.583;18.22;0;-2.35;17.78;0;-2.87;16.843;0;-2.87;16.448;0;-2.35;15.7;0;-1.363;-1;-1;-1;-1;-1;-1;11.7;0;-0.062;11.2;0;-0.098;8.7;0;-0.093;5.7;0;-0.064;-1;-1;-1;-1;-1;-1;5.2;0;-1.8;-1;-1;-1;-1;-1;-1;0;0;-1.8
048_042_00023;71.578;0;-0.925;49.078;0;-1.366;48.63;0;-1.76;47.604;0;-1.76;47.078;0;-1.224;42.578;0;-1.049;-1;-1;-1;-1;-1;-1;17.078;0;-0.015;16.578;0;-0.015;14.078;0;-0.231;15.578;0;0.046;-1;-1;-1;-1;-1;-1;7.878;0;-3;-1;-1;-1;-1;-1;-1;0;0;-3.2
048_042_00024;22.133;0;-2.81;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;13.602;0;-1.696;11.102;0;-1.129;10.602;0;-1.11;8.602;0;-0.229;8.102;0;-0.204;5.602;0;-0.54;6.602;0;-0.232;-1;-1;-1;-1;-1;-1;1.896;0;-2.3;-1;-1;-1;-1;-1;-1;0;0;-2.3
048_042_00025;26.2;0;-1.522;20.2;0;-1.988;19.356;0;-2.41;16.144;0;-2.41;15.2;0;-1.938;14.7;0;-1.818;-1;-1;-1;-1;-1;-1;8.7;0;0.035;8.2;0;0.056;5.7;0;-0.306;7.7;0;0.116;6.7;0;-0.276;5.7;0;-0.306;1.895;0;-2.3;-1;-1;-1;-1;-1;-1;0;0;-2.3
048_042_00026;42.849;0;-1.461;34.349;0;-1.676;33.078;0;-2.51;32.409;0;-2.51;30.349;0;-1.587;29.849;0;-1.584;-1;-1;-1;-1;-1;-1;23.849;0;-0.35;23.349;0;-0.315;20.849;0;-0.241;17.849;0;-0.388;-1;-1;-1;-1;-1;-1;4.349;0;-4.75;-1;-1;-1;-1;-1;-1;0;0;-4.75
048_042_00027;64.765;0;-1.423;61.121;0;-2.3;60.155;0;-2.87;30.108;0;-2.87;29.488;0;-2.301;28.765;0;-1.637;-1;-1;-1;-1;-1;-1;23.265;0;-0.279;22.265;0;-0.202;19.765;0;-0.192;15.765;0;-0.052;-1;-1;-1;-1;-1;-1;3.765;0;-4.2;-1;-1;-1;-1;-1;-1;0;0;-4.2
048_042_00028;34.48;0;-2.87;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;25.04;0;-2.87;24.11;0;-1.395;23.61;0;-1.395;20.61;0;-0.131;19.61;0;-0.063;17.11;0;-0.631;18.61;0;-0.067;-1;-1;-1;-1;-1;-1;6.785;0;-4.2;-1;-1;-1;-1;-1;-1;0;0;-4.2
048_042_00029;42.756;0;-2.62;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;17.9;0;-1.615;-1;-1;-1;-1;-1;-1;12.9;0;-0.13;12.4;0;-0.041;9.9;0;-0.361;10.9;0;-0.141;-1;-1;-1;-1;-1;-1;5.582;0;-1.8;-1;-1;-1;-1;-1;-1;0;0;-1.8
048_042_00030;43.642;0;-3.32;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;23.7;0;-1.63;-1;-1;-1;-1;-1;-1;18.7;0;-0.094;18.2;0;-0.011;15.7;0;-0.401;17.2;0;-0.011;-1;-1;-1;-1;-1;-1;5.2;0;-3;-1;-1;-1;-1;-1;-1;0;0;-3
049_042_00001;44.691;0;-3.121;42.866;0;-3.056;41.153;0;-4.77;37.455;0;-4.77;35.691;0;-3.006;34.191;0;-3.015;-1;-1;-1;-1;-1;-1;10.691;0;-0.539;10.191;0;-0.568;7.691;0;-0.272;7.191;0;-0.272;-1;-1;-1;-1;-1;-1;3.676;0;-1.84;-1;-1;-1;-1;-1;-1;0;0;-1.84
049_042_00011;31.196;0;-1.194;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;24.549;0;-1.194;-1;-1;-1;-1;-1;-1;20.644;0;-0.169;20.144;0;-0.169;17.644;0;-0.225;17.644;0;-0.225;-1;-1;-1;-1;-1;-1;11.371;0;-2.3;-1;-1;-1;-1;-1;-1;0;0;-2.34
