Profielnaam;X_Maaiveld binnenwaarts;Y_Maaiveld binnenwaarts;Z_Maaiveld binnenwaarts;X_Insteek sloot polderzijde;Y_Insteek sloot polderzijde;Z_Insteek sloot polderzijde;X_Slootbodem polderzijde;Y_Slootbodem polderzijde;Z_Slootbodem polderzijde;X_Slootbodem dijkzijde;Y_Slootbodem dijkzijde;Z_Slootbodem dijkzijde;X_Insteek sloot dijkzijde;Y_Insteek_sloot dijkzijde;Z_Insteek sloot dijkzijde;X_Teen dijk binnenwaarts;Y_Teen dijk binnenwaarts;Z_Teen dijk binnenwaarts;X_Kruin binnenberm;Y_Kruin binnenberm;Z_Kruin binnenberm;X_Insteek binnenberm;Y_Insteek binnenberm;Z_Insteek binnenberm;X_Kruin binnentalud;Y_Kruin binnentalud;Z_Kruin binnentalud;X_Verkeersbelasting kant binnenwaarts;Y_Verkeersbelasting kant binnenwaarts;Z_Verkeersbelasting kant binnenwaarts;X_Verkeersbelasting kant buitenwaarts;Y_Verkeersbelasting kant buitenwaarts;Z_Verkeersbelasting kant buitenwaarts;X_Kruin buitentalud;Y_Kruin buitentalud;Z_Kruin buitentalud;X_Insteek buitenberm;Y_Insteek buitenberm;Z_Insteek buitenberm;X_Kruin buitenberm;Y_Kruin buitenberm;Z_Kruin buitenberm;X_Teen dijk buitenwaarts;Y_Teen dijk buitenwaarts;Z_Teen dijk buitenwaarts;X_Insteek geul;Y_Insteek geul;Z_Insteek geul;X_Teen geul;Y_Teen geul;Z_Teen geul;X_Maaiveld buitenwaarts;Y_Maaiveld buitenwaarts;Z_Maaiveld buitenwaarts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
028_042_00012;59;0;-3.26;53.5;0;-4.14;52.047;0;-4.663;51.601;0;-4.663;44.402;0;-4.06;43.5;0;-4.05;-1;-1;-1;-1;-1;-1;24.5;0;-1.13;21;0;-0.84;18.5;0;-0.77;15;0;-0.88;-1;-1;-1;-1;-1;-1;14;0;-1.15;-1;-1;-1;-1;-1;-1;0;0;-1.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
028_042_00013;59;0;-3.26;53.5;0;-4.14;52.5;0;-4.6;51.601;0;-4.663;44.402;0;-4.06;43.5;0;-4.05;-1;-1;-1;-1;-1;-1;23.5;0;-1.03;19.5;0;-0.79;17;0;-0.77;14.5;0;-0.95;-1;-1;-1;-1;-1;-1;14;0;-1.15;-1;-1;-1;-1;-1;-1;0;0;-1.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
040_042_00007;39.5;0;-3.74;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;34;0;-3.17;24.5;0;-1.83;24;0;-1.83;18.5;0;-0.87;16;0;-0.84;13.5;0;-0.88;11.5;0;-0.94;-1;-1;-1;-1;-1;-1;10.5;0;-1.11;-1;-1;-1;-1;-1;-1;0;0;-1.22;39.5;0;-3.74;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;39;0;-3.69;-1;-1;-1;-1;-1;-1;18.5;0;-0.87;18;0;-0.87;15.5;0;-0.85;12;0;-0.9;-1;-1;-1;-1;-1;-1;7;0;-2.7;-1;-1;-1;-1;-1;-1;0;0;-1.22
040_042_00008;39.5;0;-3.74;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;36.5;0;-3.44;24.5;0;-1.83;24;0;-1.83;19;0;-0.92;15.5;0;-0.85;13;0;-0.95;11.5;0;-0.94;-1;-1;-1;-1;-1;-1;10.5;0;-1.11;-1;-1;-1;-1;-1;-1;0;0;-1.22;39.5;0;-3.74;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;39;0;-3.69;-1;-1;-1;-1;-1;-1;18.5;0;-0.87;18;0;-0.87;15.5;0;-0.85;12;0;-0.9;-1;-1;-1;-1;-1;-1;7;0;-2.7;-1;-1;-1;-1;-1;-1;0;0;-1.22
040_042_00012;61;0;-3.77;56;0;-3.73;53.7;0;-5.5;52.7;0;-5.5;49.5;0;-3.6;29;0;-2.73;-1;-1;-1;-1;-1;-1;19;0;-0.53;18.5;0;-0.55;16;0;-0.56;11;0;-0.63;-1;-1;-1;-1;-1;-1;6.1;0;-3.2;-1;-1;-1;-1;-1;-1;0;0;-3.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
040_042_00013;59;0;-3.26;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;43.5;0;-4.05;-1;-1;-1;-1;-1;-1;23;0;-0.99;19.5;0;-0.79;17;0;-0.77;16;0;-0.84;-1;-1;-1;-1;-1;-1;14.5;0;-0.95;-1;-1;-1;-1;-1;-1;0;0;-1.15;59;0;-3.26;55.5;0;-3.36;53;0;-4.53;51.601;0;-4.663;43.5;0;-4.05;42.5;0;-3.82;-1;-1;-1;-1;-1;-1;20;0;-0.78;19.5;0;-0.79;17;0;-0.77;14.5;0;-0.95;-1;-1;-1;-1;-1;-1;11.5;0;-2.4;-1;-1;-1;-1;-1;-1;0;0;-1.15
040_042_00024;63.041;0;-5.7;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;37.161;0;-3.12;-1;-1;-1;-1;-1;-1;24.881;0;-0.14;19.891;0;-0.14;17.391;0;-0.153;12.981;0;-0.3;12.781;0;-0.35;11.91;0;-1;7.552;0;-3.256;-1;-1;-1;-1;-1;-1;0;0;-4.012;63.041;0;-5.7;57.971;0;-5.7;57.971;0;-5.7;57.971;0;-5.7;55.611;0;-4.33;37.161;0;-3.12;-1;-1;-1;-1;-1;-1;24.881;0;-0.14;23.211;0;-0.13;20.711;0;-0.08;12.981;0;-0.3;-1;-1;-1;-1;-1;-1;6.043;0;-3.693;-1;-1;-1;-1;-1;-1;0;0;-4.012
040_042_00027;63.77;0;-4.7;62.77;0;-5.7;62.77;0;-5.7;61.75;0;-5.7;60.735;0;-4.733;60.24;0;-4.23;55.56;0;-3.17;41.48;0;-3.76;26.47;0;-0.28;24.64;0;-0.2;22.14;0;-0.397;22.14;0;-0.397;18.28;0;-1.53;15.52;0;-1.71;8.79;0;-3.8;-1;-1;-1;-1;-1;-1;0;0;-4.075;63.77;0;-4.7;62.77;0;-5.7;62.77;0;-5.7;61.75;0;-5.7;56.42;0;-3.25;41.48;0;-3.76;-1;-1;-1;-1;-1;-1;26.47;0;-0.28;25.92;0;-0.24;23.42;0;-0.281;18.39;0;-0.6;-1;-1;-1;-1;-1;-1;8.79;0;-3.8;-1;-1;-1;-1;-1;-1;0;0;-4.075
040_042_00028;69.95;0;-2.43;49.94;0;-4.74;48.94;0;-5.7;45.537;0;-5.63;44.61;0;-4.74;43.706;0;-4.261;35.55;0;-2.31;26.59;0;-2;20.97;0;1.16;17.72;0;1.12;15.22;0;1.008;14.15;0;0.96;12.45;0;-0.21;12.45;0;-0.21;11.946;0;-0.546;-1;-1;-1;-1;-1;-1;0;0;-1.2;69.95;0;-2.43;59.18;0;-2.12;48.94;0;-5.7;45.61;0;-5.7;35.55;0;-2.31;26.59;0;-2;-1;-1;-1;-1;-1;-1;20.97;0;1.16;17.72;0;1.12;15.22;0;1.008;14.15;0;0.96;-1;-1;-1;-1;-1;-1;8.06;0;-2.9;-1;-1;-1;-1;-1;-1;0;0;-0.52
040_042_00029;69.95;0;-2.43;50.13;0;-4.56;48.94;0;-5.7;45.61;0;-5.7;44.61;0;-4.74;44.33;0;-4.5;35.55;0;-2.31;26.59;0;-2;23.67;0;0.04;20.97;0;0.16;18.47;0;0.129;14.15;0;-0.04;-1;-1;-1;-1;-1;-1;11.01;0;-1.17;-1;-1;-1;-1;-1;-1;0;0;-1.2;69.95;0;-2.43;59.18;0;-2.12;49.017;0;-5.626;45.537;0;-5.63;35.55;0;-2.31;26.59;0;-2;-1;-1;-1;-1;-1;-1;23.67;0;0.04;20.97;0;0.16;18.47;0;0.129;12.45;0;-0.21;-1;-1;-1;-1;-1;-1;8.06;0;-2.9;-1;-1;-1;-1;-1;-1;0;0;-0.52
