LOCATIONID;X_Maaiveld binnenwaarts;Y_Maaiveld binnenwaarts;Z_Maaiveld binnenwaarts;X_Insteek sloot polderzijde;Y_Insteek sloot polderzijde;Z_Insteek sloot polderzijde;X_Slootbodem polderzijde;Y_Slootbodem polderzijde;Z_Slootbodem polderzijde;X_Slootbodem dijkzijde;Y_Slootbodem dijkzijde;Z_Slootbodem dijkzijde;X_Insteek sloot dijkzijde;Y_Insteek_sloot dijkzijde;Z_Insteek sloot dijkzijde;X_Teen dijk binnenwaarts;Y_Teen dijk binnenwaarts;Z_Teen dijk binnenwaarts;X_Kruin binnenberm;Y_Kruin binnenberm;Z_Kruin binnenberm;X_Insteek binnenberm;Y_Insteek binnenberm;Z_Insteek binnenberm;X_Kruin binnentalud;Y_Kruin binnentalud;Z_Kruin binnentalud;X_Verkeersbelasting kant binnenwaarts;Y_Verkeersbelasting kant binnenwaarts;Z_Verkeersbelasting kant binnenwaarts;X_Verkeersbelasting kant buitenwaarts;Y_Verkeersbelasting kant buitenwaarts;Z_Verkeersbelasting kant buitenwaarts;X_Kruin buitentalud;Y_Kruin buitentalud;Z_Kruin buitentalud;X_Insteek buitenberm;Y_Insteek buitenberm;Z_Insteek buitenberm;X_Kruin buitenberm;Y_Kruin buitenberm;Z_Kruin buitenberm;X_Teen dijk buitenwaarts;Y_Teen dijk buitenwaarts;Z_Teen dijk buitenwaarts;X_Insteek geul;Y_Insteek geul;Z_Insteek geul;X_Teen geul;Y_Teen geul;Z_Teen geul;X_Maaiveld buitenwaarts;Y_Maaiveld buitenwaarts;Z_Maaiveld buitenwaarts;;;;
027_042_00011;55;0;-6.02;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;48;0;-5.41;-1;-1;-1;-1;-1;-1;26;0;-1.38;18.5;0;-1.38;16;0;-1.5;12;0;-1.55;11.5;0;-1.9;10;0;-1.88;7.92;0;-3.27;-1;-1;-1;-1;-1;-1;0;0;-3.27;;;;
027_042_00012;55;0;-6.02;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;48;0;-5.41;-1;-1;-1;-1;-1;-1;26.5;0;-1.47;17;0;-1.45;14.5;0;-1.49;12;0;-1.55;11.5;0;-1.9;10;0;-1.88;7.92;0;-3.27;-1;-1;-1;-1;-1;-1;0;0;-3.27;;;;
027_042_00013;55;0;-6.02;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;49.84;0;-6.02;47.5;0;-5.38;45.5;0;-5.37;26;0;-1.38;22.5;0;-1.34;20;0;-1.4;12;0;-1.55;11.5;0;-1.9;10;0;-1.88;7.92;0;-3.27;-1;-1;-1;-1;-1;-1;0;0;-3.27;;;;
027_042_00014;55;0;-6.02;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;49.84;0;-6.02;48;0;-5.41;45.5;0;-5.37;26.5;0;-1.47;18;0;-1.38;15.5;0;-1.45;12;0;-1.55;11.5;0;-1.9;10;0;-1.88;7.92;0;-3.27;-1;-1;-1;-1;-1;-1;0;0;-3.27;;;;
027_042_00015;55;0;-6.02;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;49.84;0;-6.02;48;0;-5.41;45.5;0;-5.37;26.5;0;-1.47;19.5;0;-1.36;17;0;-1.45;12;0;-1.55;11.5;0;-1.9;10;0;-1.88;7.92;0;-3.27;-1;-1;-1;-1;-1;-1;0;0;-3.27;;;;
027_042_00016;55;0;-6.02;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;48;0;-5.41;-1;-1;-1;-1;-1;-1;26;0;-1.38;19.5;0;-1.36;17;0;-1.45;12;0;-1.55;11.5;0;-1.9;10;0;-1.88;7.92;0;-3.27;-1;-1;-1;-1;-1;-1;0;0;-3.27;;;;
027_042_00017;55;0;-6.02;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;49.84;0;-6.02;48;0;-5.41;45;0;-5.23;26.5;0;-1.47;21.5;0;-1.41;19;0;-1.36;12;0;-1.55;11.5;0;-1.9;10;0;-1.88;7.92;0;-3.27;-1;-1;-1;-1;-1;-1;0;0;-3.27;;;;
027_042_00018;55;0;-6.02;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;48;0;-5.41;-1;-1;-1;-1;-1;-1;26.5;0;-1.47;19;0;-1.36;16.5;0;-1.47;12;0;-1.55;11.5;0;-1.9;10;0;-1.88;7.92;0;-3.27;-1;-1;-1;-1;-1;-1;0;0;-3.27;;;;
027_042_00019;55;0;-3.85;47.5;0;-4.3;45.9;0;-5.12;45.9;0;-5.12;44.264;0;-4.302;44;0;-4.17;42.5;0;-3.78;31.5;0;-3.32;21.5;0;-1.3;19.5;0;-1.2;17;0;-1.3;13.5;0;-1.53;-1;-1;-1;-1;-1;-1;7.36;0;-3.47;-1;-1;-1;-1;-1;-1;0;0;-3.47;;;;
027_042_00021;55;0;-4.259;49.622;0;-4.259;47.139;0;-5.12;46.429;0;-5.12;43.629;0;-4.19;14.5;0;-3.58;-1;-1;-1;-1;-1;-1;8;0;-1.43;7;0;-1.3;4.5;0;-2.06;6;0;-1.33;-1;-1;-1;-1;-1;-1;3.64;0;-2.92;-1;-1;-1;-1;-1;-1;0;0;-2.92;;;;
