LOCATIONID;X_Maaiveld binnenwaarts;Y_Maaiveld binnenwaarts;Z_Maaiveld binnenwaarts;X_Insteek sloot polderzijde;Y_Insteek sloot polderzijde;Z_Insteek sloot polderzijde;X_Slootbodem polderzijde;Y_Slootbodem polderzijde;Z_Slootbodem polderzijde;X_Slootbodem dijkzijde;Y_Slootbodem dijkzijde;Z_Slootbodem dijkzijde;X_Insteek sloot dijkzijde;Y_Insteek_sloot dijkzijde;Z_Insteek sloot dijkzijde;X_Teen dijk binnenwaarts;Y_Teen dijk binnenwaarts;Z_Teen dijk binnenwaarts;X_Kruin binnenberm;Y_Kruin binnenberm;Z_Kruin binnenberm;X_Insteek binnenberm;Y_Insteek binnenberm;Z_Insteek binnenberm;X_Kruin binnentalud;Y_Kruin binnentalud;Z_Kruin binnentalud;X_Verkeersbelasting kant binnenwaarts;Y_Verkeersbelasting kant binnenwaarts;Z_Verkeersbelasting kant binnenwaarts;X_Verkeersbelasting kant buitenwaarts;Y_Verkeersbelasting kant buitenwaarts;Z_Verkeersbelasting kant buitenwaarts;X_Kruin buitentalud;Y_Kruin buitentalud;Z_Kruin buitentalud;X_Insteek buitenberm;Y_Insteek buitenberm;Z_Insteek buitenberm;X_Kruin buitenberm;Y_Kruin buitenberm;Z_Kruin buitenberm;X_Teen dijk buitenwaarts;Y_Teen dijk buitenwaarts;Z_Teen dijk buitenwaarts;X_Insteek geul;Y_Insteek geul;Z_Insteek geul;X_Teen geul;Y_Teen geul;Z_Teen geul;X_Maaiveld buitenwaarts;Y_Maaiveld buitenwaarts;Z_Maaiveld buitenwaarts
249_042_00182;55;0;-4.175;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;30.536;0;-3.835;-1;-1;-1;-1;-1;-1;10.23;0;-1.553;10.23;0;-1.553;7.73;0;-1.586;7.73;0;-1.586;-1;-1;-1;-1;-1;-1;5.891;0;-2.787;-1;-1;-1;-1;-1;-1;0;0;-2.787
249_042_00183;55;0;-4.175;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;33.074;0;-3.98;-1;-1;-1;-1;-1;-1;10.23;0;-1.553;10.23;0;-1.553;7.73;0;-1.586;7.691;0;-1.587;-1;-1;-1;-1;-1;-1;5.891;0;-2.787;-1;-1;-1;-1;-1;-1;0;0;-2.787
249_042_00184;55;0;-3.888;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;48.075;0;-3.803;35.827;0;-3.544;19.496;0;-3.044;13.372;0;-1.502;9.289;0;-1.453;6.789;0;-1.49;5.207;0;-1.492;-1;-1;-1;-1;-1;-1;3.407;0;-2.692;-1;-1;-1;-1;-1;-1;0;0;-2.692
249_042_00185;55;0;-3.888;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;21.537;0;-3.189;-1;-1;-1;-1;-1;-1;13.372;0;-1.502;11.331;0;-1.464;8.831;0;-1.461;5.207;0;-1.492;-1;-1;-1;-1;-1;-1;3.407;0;-2.692;-1;-1;-1;-1;-1;-1;0;0;-2.692
249_042_00186;55;0;-5.44;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;53.118;0;-5.44;31.073;0;-4.665;23.057;0;-4.318;15.041;0;-1.774;11.033;0;-1.523;8.533;0;-1.486;5.02;0;-1.561;-1;-1;-1;-1;-1;-1;3.22;0;-2.761;-1;-1;-1;-1;-1;-1;0;0;-2.761
249_042_00187;65;0;-4.014;43.098;0;-3.657;39.087;0;-4.011;36.649;0;-4.063;35.077;0;-3.963;35.077;0;-3.963;-1;-1;-1;-1;-1;-1;25.051;0;-1.692;21.041;0;-1.542;18.541;0;-1.526;15.026;0;-1.539;-1;-1;-1;-1;-1;-1;13.226;0;-2.739;-1;-1;-1;-1;-1;-1;0;0;-2.739
249_042_00188;65;0;-4.014;41.093;0;-3.758;39.087;0;-4.011;36.649;0;-4.063;35.077;0;-3.963;35.077;0;-3.963;-1;-1;-1;-1;-1;-1;25.051;0;-1.692;21.041;0;-1.542;18.541;0;-1.526;15.026;0;-1.539;-1;-1;-1;-1;-1;-1;13.226;0;-2.739;-1;-1;-1;-1;-1;-1;0;0;-2.739
249_042_00189;55;0;-4.746;37.87;0;-4.719;33.358;0;-5.195;33.358;0;-5.195;28.845;0;-4.52;28.845;0;-4.52;-1;-1;-1;-1;-1;-1;10.794;0;-1.63;10.794;0;-1.63;8.294;0;-1.814;8.538;0;-1.651;-1;-1;-1;-1;-1;-1;6.738;0;-2.851;-1;-1;-1;-1;-1;-1;0;0;-2.851
249_042_00190;55;0;-5.032;51.377;0;-5.086;47.35;0;-7.107;47.35;0;-7.107;43.323;0;-4.655;27.216;0;-4.784;-1;-1;-1;-1;-1;-1;11.108;0;-1.68;11.108;0;-1.68;8.608;0;-1.965;9.094;0;-1.641;-1;-1;-1;-1;-1;-1;7.294;0;-2.841;-1;-1;-1;-1;-1;-1;0;0;-2.841
249_042_00191;55;0;-4.567;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;31.038;0;-4.785;-1;-1;-1;-1;-1;-1;11.017;0;-1.75;11.017;0;-1.75;8.517;0;-1.777;8.517;0;-1.777;-1;-1;-1;-1;-1;-1;5.213;0;-3.009;-1;-1;-1;-1;-1;-1;0;0;-3.009
249_042_00192;55;0;-4.567;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;31.038;0;-4.785;-1;-1;-1;-1;-1;-1;11.017;0;-1.75;11.017;0;-1.75;8.517;0;-1.777;8.517;0;-1.777;-1;-1;-1;-1;-1;-1;5.213;0;-3.009;-1;-1;-1;-1;-1;-1;0;0;-3.009
249_042_00193;55;0;-5.489;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;37.6;0;-5.489;-1;-1;-1;-1;-1;-1;10.975;0;-1.835;10.975;0;-1.835;8.475;0;-1.815;8.313;0;-1.814;-1;-1;-1;-1;-1;-1;6.513;0;-3.014;-1;-1;-1;-1;-1;-1;0;0;-3.014
249_042_00194;55;0;-4.676;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;30.674;0;-4.026;-1;-1;-1;-1;-1;-1;11.465;0;-1.613;8.721;0;-1.476;6.221;0;-1.708;5.977;0;-1.731;-1;-1;-1;-1;-1;-1;4.177;0;-2.931;-1;-1;-1;-1;-1;-1;0;0;-2.931
249_042_00195;47.94;0;-5.35;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;39.1;0;-5.32;-1;-1;-1;-1;-1;-1;19.28;0;-2.92;19.28;0;-2.92;16.78;0;-2.904;16.68;0;-2.9;-1;-1;-1;-1;-1;-1;15.69;0;-3.66;-1;-1;-1;-1;-1;-1;0;0;-3.88
249_042_00196;35.32;0;-5.22;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;22.97;0;-5.1;-1;-1;-1;-1;-1;-1;4.4;0;-2.96;4.4;0;-2.96;1.9;0;-2.835;1.6;0;-2.82;-1;-1;-1;-1;-1;-1;0.68;0;-3.55;-1;-1;-1;-1;-1;-1;0;0;-3.7
259_042_00014;60.372;0;-1;41.832;0;-1.55;39.54;0;-3.792;38.51;0;-3.794;36.382;0;-1.4;36.382;0;-1.4;-1;-1;-1;-1;-1;-1;32.642;0;0.22;32.642;0;0.22;30.142;0;0.166;30.532;0;0.22;-1;-1;-1;-1;-1;-1;7.227;0;-2.6;-1;-1;-1;-1;-1;-1;0;0;-2.6
